"Carrier","Year","Total Departures","Total Passengers","Total Seats","Total Load Factor (%)","Total Passengers/Flight","Total Seats/Flight","Total Distance/Flight (sm)","Total Distance/Passenger (sm)","Total Payload (lbs)","Total Freight (lbs)","Total Mail (lbs)","Domestic Departures","Domestic Passengers","Domestic Seats","Domestic Load Factor (%)","Domestic Passengers/Flight","Domestic Seats/Flight","Domestic Distance/Flight (sm)","Domestic Distance/Passenger (sm)","Domestic Payload (lbs)","Domestic Freight (lbs)","Domestic Mail (lbs)","Outbound International Departures","Outbound International Passengers","Outbound International Seats","Outbound International Load Factor (%)","Outbound International Passengers/Flight","Outbound International Seats/Flight","Outbound International Distance/Flight (sm)","Outbound International Distance/Passenger (sm)","Outbound International Payload (lbs)","Outbound International Freight (lbs)","Outbound International Mail (lbs)","Inbound International Departures","Inbound International Passengers","Inbound International Seats","Inbound International Load Factor (%)","Inbound International Passengers/Flight","Inbound International Seats/Flight","Inbound International Distance/Flight (sm)","Inbound International Distance/Passenger (sm)","Inbound International Payload (lbs)","Inbound International Freight (lbs)","Inbound International Mail (lbs)"
"China Southern Airlines","2023","3,787","122,280","133,567","91.5","32.28941114339","35.26987060998","6,499.7707948244","7,407.10847235852","876,335,967","490,743,526","0",,,,,,,,,,,,"1,883","62,346","67,510","92.4","33.10993096123","35.85236325013","6,620.04726500266","7,404.56608282809","435,204,867","158,411,818","0","1,904","59,934","66,057","90.7","31.47794117647","34.69380252101","6,380.82090336135","7,409.75317849635","441,131,100","332,331,708","0"
"City Wings Inc dba Seaflight","2023","2,696","15,371","24,264","63.3","5.70140949555","9","45","45","6,605,200","0","0","2,696","15,371","24,264","63.3","5.70140949555","9","45","45","6,605,200","0","0",,,,,,,,,,,,,,,,,,,,,,
"Comlux Aruba NV","2023","19","844","1,929","43.8","44.42105263158","101.52631578947","4,024.15789473684","4,677.0817535545","745,350","0","0","5","161","831","19.4","32.2","166.2","299","1,235","334,570","0","0","7","347","549","63.2","49.57142857143","78.42857142857","5,663.28571428572","5,576.20172910663","205,390","0","0","7","336","549","61.2","48","78.42857142857","5,045.85714285714","5,397.85714285714","205,390","0","0"
"Comlux Malta, Ltd.","2023","39","178","642","27.7","4.5641025641","16.46153846154","3,161.74358974359","2,974.07865168539","296,560","0","0","13","43","214","20.1","3.30769230769","16.46153846154","1,599.15384615385","2,012.3023255814","100,980","0","0","14","73","231","31.6","5.21428571429","16.5","4,014","3,333.56164383562","108,900","0","0","12","62","197","31.5","5.16666666667","16.41666666667","3,860.25","3,217.85483870968","86,680","0","0"
"CommuteAir LLC dba CommuteAir","2023","72,240","3,101,801","3,612,000","85.9","42.93744462901","50","396.98792912514","399.52392561612","957,180,000","0","0","71,619","3,076,652","3,580,950","85.9","42.95860037141","50","396.45006213435","399.09271344305","948,951,750","0","0","313","13,130","15,650","83.9","41.94888178914","50","458.97763578275","450.76450875857","4,147,250","0","0","308","12,019","15,400","78","39.02272727273","50","459.06168831169","453.92952824694","4,081,000","0","0"
"Compagnie Natl Air France","2023","17,005","4,295,026","5,001,417","85.9","252.57430167598","294.11449573655","4,324.88226992061","4,347.18226827963","1,811,222,482","310,350,217","0","12","2,875","3,715","77.4","239.58333333333","309.58333333333","279.66666666667","263.45565217391","1,276,289","0","0","8,451","2,135,842","2,482,098","86","252.73245769731","293.70465033724","4,322.51118210863","4,348.31772855857","898,650,786","99,070,012","0","8,542","2,156,309","2,515,604","85.7","252.4360805432","294.49824397097","4,332.91091079373","4,351.50240526752","911,295,407","211,280,205","0"
"Compania Panamena (Copa)","2023","20,609","2,955,737","3,338,630","88.5","143.41971954001","161.99864137028","1,822.58712213111","1,833.51745300749","673,925,243","0","0",,,,,,,,,,,,"10,300","1,465,175","1,668,116","87.8","142.25","161.95300970874","1,822.68087378641","1,837.03969491699","336,144,536","0","0","10,309","1,490,562","1,670,514","89.2","144.58841788728","162.0442331943","1,822.49345232321","1,830.05520132675","337,780,707","0","0"
"Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)","2023","33,854","5,286,666","6,538,083","80.9","156.16074909907","193.12586400425","1,463.1018491168","1,467.54238493599","1,594,917,878","1,881,808","0",,,,,,,,,,,,"16,920","2,620,391","3,267,730","80.2","154.86944444444","193.12825059102","1,463.03947990544","1,466.82510358187","797,137,267","1,112,796","0","16,934","2,666,275","3,270,353","81.5","157.45098618165","193.12347939058","1,463.16416676509","1,468.2473225755","797,780,611","769,012","0"
"Concierge U Ltd. d/b/a Jet Concierge Club","2023","75","312","1,003","31.1","4.16","13.37333333333","3,413.44","3,178.60576923077","101,400","0","0","15","67","197","34","4.46666666667","13.13333333333","1,288","1,245.31343283582","19,933","0","0","27","113","362","31.2","4.18518518519","13.40740740741","3,775.59259259259","3,452.04424778761","36,277","0","0","33","132","444","29.7","4","13.45454545455","4,083.24242424242","3,925.81818181818","45,190","0","0"
"Condor Flugdienst","2023","2,300","549,706","616,494","89.2","239.00260869565","268.04086956522","4,871.03043478261","4,892.73588609184","210,513,269","12,515,644","0","20","2,880","5,154","55.9","144","257.7","475.4","340.86527777778","1,355,766","0","0","1,134","270,777","304,308","89","238.78042328042","268.34920634921","4,912.37301587302","4,914.14794461864","104,832,726","3,671,201","0","1,146","276,049","307,032","89.9","240.88045375218","267.91623036649","4,906.83333333333","4,919.22210549576","104,324,777","8,844,443","0"
"DCA","2023","23","75","305","24.6","3.26086956522","13.26086956522","3,579.47826086957","3,480.78666666667","111,191","0","0","4","14","52","26.9","3.5","13","1,191.25","863.5","17,716","0","0","11","37","146","25.3","3.36363636364","13.27272727273","4,148.72727272727","4,205.05405405405","53,381","0","0","8","24","107","22.4","3","13.375","3,990.875","3,890.95833333333","40,094","0","0"
"DHL Aero Expresso","2023","1,171","0","0",,"0","0","2,257.61400512383",,"131,148,721","98,257,157","0",,,,,,,,,,,,"584","0","0",,"0","0","2,443.03253424658",,"63,235,822","44,348,839","0","587","0","0",,"0","0","2,073.14310051107",,"67,912,899","53,908,318","0"
"Dassault Falcon Service","2023","27","61","387","15.8","2.25925925926","14.33333333333","3,714.14814814815","3,829.31147540984","140,157","0","0","2","5","15","33.3","2.5","7.5","657.5","1,294","5,977","0","0","13","29","193","15","2.23076923077","14.84615384615","3,571.76923076923","3,493.37931034483","71,168","0","0","12","27","179","15.1","2.25","14.91666666667","4,377.83333333333","4,659.62962962963","63,012","0","0"
"Delta Air Lines Inc.","2023","1,119,098","162,180,676","190,154,580","85.3","144.92088807236","169.91771944906","1,184.30078688372","1,352.04939667411","52,876,079,388","772,838,047","88,311,590","984,153","137,180,591","160,967,095","85.2","139.38949634864","163.55901470605","941.29212734199","999.9211569004","43,679,528,840","226,832,446","67,721,410","67,501","12,474,960","14,603,387","85.4","184.81148427431","216.34326898861","2,957.31368424172","3,273.50223503723","4,600,016,289","168,094,214","14,997,495","67,444","12,525,125","14,584,098","85.9","185.71147915308","216.24011031374","2,955.80837435502","3,294.95317922975","4,596,534,259","377,911,387","5,592,685"
"Delux Public Charter LLC","2023","34,328","713,241","1,029,840","69.3","20.77723724074","30","466.80829060825","458.44193897995","205,968,000","0","0","33,719","703,003","1,011,570","69.5","20.84886859041","30","457.5277440019","450.70454606879","202,314,000","0","0","305","5,328","9,150","58.2","17.46885245902","30","980.9868852459","986.30217717718","1,830,000","0","0","304","4,910","9,120","53.8","16.15131578947","30","980.31578947368","993.466598778","1,824,000","0","0"
"Dreamjet SAS Dba La Compagnie","2023","1,256","70,292","95,956","73.3","55.96496815287","76.39808917197","3,806.54936305733","3,796.6165139703","168,052,299","157","0",,,,,,,,,,,,"624","35,701","47,924","74.5","57.21314102564","76.80128205128","3,806.40705128205","3,801.3027086076","83,490,951","0","0","632","34,591","48,032","72","54.73259493671","76","3,806.68987341772","3,791.77994275968","84,561,348","157","0"
"EUROWINGS DISCOVER GmbH","2023","2,346","529,412","669,485","79.1","225.66581415175","285.37297527707","4,670.26641091219","4,703.14049927089","213,289,942","21,304,537","0","13","3,145","3,705","84.9","241.92307692308","285","316.07692307692","307.5252782194","1,182,926","134,164","0","1,165","255,884","332,437","77","219.64291845494","285.35364806867","4,692.5347639485","4,724.10824045271","106,308,688","7,152,454","0","1,168","270,383","333,343","81.1","231.49229452055","285.39640410959","4,696.51797945206","4,734.42538177326","105,798,328","14,017,919","0"
"Eastern Airlines f/k/a Dynamic Airways, LLC","2023","248","20,925","62,321","33.6","84.375","251.29435483871","1,230.125","1,637.12157706093","22,664,800","105,972","0","109","8,248","29,209","28.2","75.66972477064","267.97247706422","1,062.05504587156","1,218.94822987391","11,070,990","15,949","0","68","7,724","16,132","47.9","113.58823529412","237.23529411765","1,347.57352941177","2,096.37118073537","5,649,450","7,151","0","71","4,953","16,980","29.2","69.76056338028","239.15492957746","1,375.66197183099","1,617.30526953362","5,944,360","82,872","0"
"Edelweiss Air Ag","2023","348","83,430","109,380","76.3","239.74137931034","314.31034482759","5,219.72413793103","5,226.23171521036","35,217,600","2,355,436","0",,,,,,,,,,,,"174","39,929","54,690","73","229.47701149425","314.31034482759","5,219.72413793103","5,221.60617596233","17,608,800","79,616","0","174","43,501","54,690","79.5","250.00574712644","314.31034482759","5,219.72413793103","5,230.47743730029","17,608,800","2,275,820","0"
"Egyptair","2023","1,248","324,869","411,450","79","260.31169871795","329.6875","5,680.66826923077","5,678.46350682891","99,014,431","16,642,144","0",,,,,,,,,,,,"624","159,578","205,725","77.6","255.73397435897","329.6875","5,680.66826923077","5,677.65275288574","48,313,755","7,127,614","0","624","165,291","205,725","80.3","264.88942307692","329.6875","5,680.66826923077","5,679.24623845218","50,700,676","9,514,530","0"
"El Al Israel Airlines Ltd.","2023","3,991","912,211","1,053,599","86.6","228.56702580807","263.99373590579","6,055.07141067402","6,052.54737335989","287,880,843","52,154,224","0",,,,,,,,,,,,"1,996","457,482","526,936","86.8","229.1993987976","263.99599198397","6,055.32314629259","6,044.72221857909","145,479,781","24,076,986","0","1,995","454,729","526,663","86.3","227.9343358396","263.99147869674","6,054.81954887218","6,060.41990284323","142,401,062","28,077,238","0"
"Elitavia Malta Limited","2023","30","130","434","30","4.33333333333","14.46666666667","2,678.8","2,510.33846153846","87,842","0","0","9","38","136","27.9","4.22222222222","15.11111111111","944.55555555556","1,001.44736842105","27,526","0","0","10","39","146","26.7","3.9","14.6","3,735.5","3,718.38461538462","29,550","0","0","11","53","152","34.9","4.81818181818","13.81818181818","3,137.09090909091","2,703.24528301887","30,766","0","0"
"Ellis Air Taxi Inc.","2023","376","305","1,464","20.8","0.81117021277","3.89361702128","102","99.09836065574","579,977","11,113","50,812","376","305","1,464","20.8","0.81117021277","3.89361702128","102","99.09836065574","579,977","11,113","50,812",,,,,,,,,,,,,,,,,,,,,,
"Emirates","2023","10,574","3,362,118","4,270,536","78.7","317.96084736145","403.87138263666","6,952.52317003972","7,056.87022674398","1,671,599,340","209,523,838","0","4","0","0",,"0","0","1,440",,"968,000","291,592","0","5,287","1,570,203","2,128,002","73.8","296.99319084547","402.49706828069","6,955.46264422168","7,072.25784627848","832,201,572","90,967,743","0","5,283","1,791,915","2,142,534","83.6","339.18512208972","405.55252697331","6,953.75525269733","7,043.38650326606","838,429,768","118,264,503","0"
"Empire Airlines Inc.","2023","15,764","0","0",,"0","0","136.24701852322",,"104,261,098","37,085,344","0","15,764","0","0",,"0","0","136.24701852322",,"104,261,098","37,085,344","0",,,,,,,,,,,,,,,,,,,,,,
"Endeavor Air Inc.","2023","214,222","12,796,617","15,865,917","80.7","59.73530729804","74.06296738897","422.18126522953","428.63278739998","4,406,778,568","319","0","197,766","11,807,652","14,650,139","80.6","59.70516671217","74.07814791218","423.06199751221","429.93694817564","4,073,324,166","319","0","8,230","511,304","608,058","84.1","62.12685297691","73.88311057108","411.39805589307","411.37450518674","166,765,502","0","0","8,226","477,661","607,720","78.6","58.0672258692","73.87794796985","411.79552637977","414.86811357846","166,688,900","0","0"
"Envoy Air","2023","241,425","14,342,580","17,727,919","80.9","59.40801491146","73.43033654344","541.34240447344","550.18602622401","4,527,445,170","601,440","55","225,818","13,427,298","16,561,299","81.1","59.46070729526","73.33914479802","534.47865537734","543.40698612632","4,230,701,520","576,949","55","7,808","457,848","583,616","78.5","58.63831967213","74.74590163934","641.23271004098","649.26334285614","148,451,030","19,927","0","7,799","457,434","583,004","78.5","58.65290421849","74.75368637005","640.07488139505","650.0077278908","148,292,620","4,564","0"
"Estafeta Carga Aereas","2023","502","0","0",,"0","0","1,276",,"21,082,996","13,440,687","0",,,,,,,,,,,,"251","0","0",,"0","0","1,276",,"10,583,496","5,620,818","0","251","0","0",,"0","0","1,276",,"10,499,500","7,819,869","0"
"Ethiopian Airlines","2023","2,677","565,981","778,772","72.7","211.423608517","290.91221516623","7,086.90735898394","7,113.48381129402","137,903,123","23,166,685","0",,,,,,,,,,,,"1,334","272,695","386,221","70.6","204.41904047976","289.52098950525","7,085.25412293853","7,106.28202937348","60,755,438","5,315,502","0","1,343","293,286","392,551","74.7","218.38123603872","292.29411764706","7,088.54951600894","7,120.17997108624","77,147,685","17,851,183","0"
"Etihad Airways","2023","3,009","766,387","859,324","89.2","254.69823861748","285.58457959455","6,855.71286141575","7,039.70174598473","225,632,190","70,549,310","0",,,,,,,,,,,,"1,503","380,895","428,329","88.9","253.42315369261","284.98270126414","6,856.56420492349","7,039.36708804264","109,820,344","32,553,163","0","1,506","385,492","430,995","89.4","255.97078353254","286.18525896414","6,854.86321381142","7,040.03241312401","115,811,846","37,996,147","0"
"Eva Airways Corporation","2023","10,734","2,044,003","2,239,454","91.3","190.4232345817","208.6318241103","6,038.33268119993","6,897.58848690535","1,702,026,964","732,676,081","0","1,605","0","0",,"0","0","2,842.89719626168",,"343,970,000","221,429,975","0","4,565","1,024,303","1,121,145","91.4","224.38181818182","245.59583789704","6,639.87404162103","6,892.4431305971","672,222,584","175,820,605","0","4,564","1,019,700","1,118,309","91.2","223.42243645925","245.02826468011","6,560.38299737073","6,902.75706972639","685,834,380","335,425,501","0"
"Executive Express dba Ravn Connect","2023","469","2,566","3,977","64.5","5.47121535181","8.47974413646","148.43923240938","125.43063133281","2,110,500","58,139","214","469","2,566","3,977","64.5","5.47121535181","8.47974413646","148.43923240938","125.43063133281","2,110,500","58,139","214",,,,,,,,,,,,,,,,,,,,,,
"FAI rent-a-jet AG","2023","273","902","3,278","27.5","3.30402930403","12.00732600733","3,714.22344322344","3,887.46563192905","685,526","26,274","0","14","59","185","31.9","4.21428571429","13.21428571429","1,143.5","1,044.15254237288","37,038","0","0","128","450","1,620","27.8","3.515625","12.65625","3,996.8515625","4,198.73555555556","324,326","0","0","131","393","1,473","26.7","3","11.24427480916","3,712.80152671756","3,957.90839694657","324,162","26,274","0"
"FOX AIRCRAFT, LLC","2023","14,357","25,404","100,521","25.3","1.76945044229","7.00153235356","68.82656543846","74.17780664462","21,062,958","808,719","0","14,357","25,404","100,521","25.3","1.76945044229","7.00153235356","68.82656543846","74.17780664462","21,062,958","808,719","0",,,,,,,,,,,,,,,,,,,,,,
