"Carrier","Year","Total Departures","Total Passengers","Total Seats","Total Load Factor (%)","Total Passengers/Flight","Total Seats/Flight","Total Distance/Flight (sm)","Total Distance/Passenger (sm)","Total Payload (lbs)","Total Freight (lbs)","Total Mail (lbs)","Domestic Departures","Domestic Passengers","Domestic Seats","Domestic Load Factor (%)","Domestic Passengers/Flight","Domestic Seats/Flight","Domestic Distance/Flight (sm)","Domestic Distance/Passenger (sm)","Domestic Payload (lbs)","Domestic Freight (lbs)","Domestic Mail (lbs)","Outbound International Departures","Outbound International Passengers","Outbound International Seats","Outbound International Load Factor (%)","Outbound International Passengers/Flight","Outbound International Seats/Flight","Outbound International Distance/Flight (sm)","Outbound International Distance/Passenger (sm)","Outbound International Payload (lbs)","Outbound International Freight (lbs)","Outbound International Mail (lbs)","Inbound International Departures","Inbound International Passengers","Inbound International Seats","Inbound International Load Factor (%)","Inbound International Passengers/Flight","Inbound International Seats/Flight","Inbound International Distance/Flight (sm)","Inbound International Distance/Passenger (sm)","Inbound International Payload (lbs)","Inbound International Freight (lbs)","Inbound International Mail (lbs)"
"Lan Peru Airlines","2023","3,230","638,151","748,617","85.2","197.56996904025","231.76996904025","3,234.51950464396","3,225.28865425268","290,425,650","61,456,961","0","5","568","699","81.3","113.6","139.8","775.2","104","452,954","115,726","0","1,612","316,305","373,145","84.8","196.21898263027","231.47952853598","3,237.09739454094","3,224.65197198906","142,959,551","12,441,294","0","1,613","321,278","374,773","85.7","199.18040917545","232.34531928084","3,239.56664600124","3,231.43373028966","147,013,145","48,899,941","0"
"London Air Services Limited","2023","541","1,690","5,213","32.4","3.12384473198","9.63585951941","970.21626617375","1,085.64319526627","1,826,212","0","0","102","258","981","26.3","2.52941176471","9.61764705882","577.44117647059","717.65891472868","351,989","0","0","218","701","2,099","33.4","3.21559633028","9.62844036697","1,164.84862385321","1,247.35378031384","727,469","0","0","221","731","2,133","34.3","3.30769230769","9.65158371041","959.50678733032","1,060.44596443229","746,754","0","0"
"Lufthansa German Airlines","2023","19,762","4,863,438","5,901,361","82.4","246.10049590122","298.62164760652","4,647.25569274365","4,693.08277231045","2,085,319,159","390,833,537","0","73","9,231","11,007","83.9","126.45205479452","150.78082191781","619.61643835616","430.14852128697","12,032,662","3,347,403","0","9,831","2,392,640","2,940,701","81.4","243.37707252568","299.12531787204","4,685.51357949344","4,704.95646524341","1,036,280,391","144,764,511","0","9,858","2,461,567","2,949,653","83.5","249.70247514709","299.21414079935","4,638.92787583688","4,697.52777559985","1,037,006,106","242,721,623","0"
"Luxaviation EA","2023","23","104","450","23.1","4.52173913043","19.5652173913","3,965.69565217391","3,763.49038461539","90,089","0","0",,,,,,,,,,,,"12","49","238","20.6","4.08333333333","19.83333333333","3,880.75","3,900.18367346939","47,647","0","0","11","55","212","25.9","5","19.27272727273","4,058.36363636364","3,641.70909090909","42,442","0","0"
"Lynden Air Cargo Airlines","2023","3,095","0","0",,"0","0","498.91728594507",,"145,514,041","40,270,606","23,277,806","2,950","0","0",,"0","0","486.15830508475",,"138,677,549","38,665,331","23,277,806","75","0","0",,"0","0","748.30666666667",,"3,528,102","733,213","0","70","0","0",,"0","0","769.41428571429",,"3,308,390","872,062","0"
"Maritime Helicopters, Inc.","2023","3,367","3,760","20,245","18.6","1.11672111672","6.01277101277","29.54143154143","21.38111702128","14,846,202","239,625","0","3,367","3,760","20,245","18.6","1.11672111672","6.01277101277","29.54143154143","21.38111702128","14,846,202","239,625","0",,,,,,,,,,,,,,,,,,,,,,
"Martinair Holland N.V.","2023","1,034","0","0",,"0","0","3,160.81044487428",,"271,032,311","156,710,714","0","3","0","0",,"0","0","665.66666666667",,"799,999","27,731","0","512","0","0",,"0","0","3,644.513671875",,"134,190,835","68,686,208","0","519","0","0",,"0","0","2,698.05394990366",,"136,041,477","87,996,775","0"
"Mesa Airlines Inc.","2023","102,395","6,214,266","7,551,710","82.3","60.68915474388","73.75076908052","544.22330191904","550.85331912087","1,959,919,905","51,497,003","0","89,454","5,391,450","6,572,856","82","60.27064189416","73.477496814","528.73991101572","535.51486149366","1,726,847,185","51,497,003","0","6,478","412,326","490,000","84.1","63.65020067922","75.64062982402","651.56853967274","651.9506798019","116,669,020","0","0","6,463","410,490","488,854","84","63.51384805818","75.63886739904","650.93362215689","650.76186021584","116,403,700","0","0"
"Mjet GmbH","2023","22","59","273","21.6","2.68181818182","12.40909090909","3,284.59090909091","3,464.28813559322","127,785","0","0","6","15","65","23.1","2.5","10.83333333333","1,162.33333333333","1,278.46666666667","30,425","0","0","8","25","104","24","3.125","13","4,230.875","4,239.84","48,680","0","0","8","19","104","18.3","2.375","13","3,930","4,169.47368421053","48,680","0","0"
"NEW PACIFIC AIRLINES","2023","11,167","197,137","377,343","52.2","17.65353273037","33.79090176413","250.22709769858","280.78247107342","95,818,384","674,333","859,954","11,167","197,137","377,343","52.2","17.65353273037","33.79090176413","250.22709769858","280.78247107342","95,818,384","674,333","859,954",,,,,,,,,,,,,,,,,,,,,,
"National Air Cargo Group Inc d/ba National Airlines","2023","1,550","10,602","29,869","35.5","6.84","19.27032258065","3,236.11032258065","1,347.60045274477","362,654,800","87,272,843","0","640","6,692","20,191","33.1","10.45625","31.5484375","2,302.384375","1,204.84548714884","147,110,200","28,902,287","0","427","1,945","5,089","38.2","4.55503512881","11.91803278689","4,017.41217798595","1,653.47763496144","100,748,800","17,756,587","0","483","1,965","4,589","42.8","4.06832298137","9.50103519669","3,782.62939958592","1,531.00254452926","114,795,800","40,613,969","0"
"National Aviation Company of India Limited d/b/a Air India","2023","4,614","1,179,418","1,363,544","86.5","255.61725184222","295.52319029042","7,717.94820112701","7,698.67197889128","513,701,320","49,879,149","0",,,,,,,,,,,,"2,305","590,984","681,730","86.7","256.39219088937","295.76138828633","7,717.66334056399","7,697.29660701474","257,790,500","22,844,329","0","2,309","588,434","681,814","86.3","254.84365526202","295.2854049372","7,718.23256821135","7,700.05331099155","255,910,820","27,034,820","0"
"Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air","2023","3,190","18,471","27,611","66.9","5.79028213166","8.65548589342","181.52539184953","181.66823669536","4,685,459","0","0",,,,,,,,,,,,"1,584","9,038","13,600","66.5","5.70580808081","8.58585858586","173.16035353535","174.09880504536","2,325,796","0","0","1,606","9,433","14,011","67.3","5.87359900374","8.72415940224","189.77584059776","188.9207039118","2,359,663","0","0"
"Neos S.P.A","2023","274","55,532","97,270","57.1","202.67153284672","355","3,995","3,995","33,154,000","5,824,768","0",,,,,,,,,,,,"137","25,786","48,635","53","188.21897810219","355","3,995","3,995","16,577,000","2,001,294","0","137","29,746","48,635","61.2","217.12408759124","355","3,995","3,995","16,577,000","3,823,474","0"
"New England Airlines Inc.","2023","6,696","26,755","50,116","53.4","3.99566905615","7.48446833931","17","17","9,999,200","30,047","0","6,696","26,755","50,116","53.4","3.99566905615","7.48446833931","17","17","9,999,200","30,047","0",,,,,,,,,,,,,,,,,,,,,,
"Nippon Cargo Airlines","2023","3,352","0","0",,"0","0","3,599.95316229117",,"775,197","488,792","0","1,375","0","0",,"0","0","2,713.04290909091",,"322,921","199,202","0","989","0","0",,"0","0","4,267.3003033367",,"215,724","104,073","0","988","0","0",,"0","0","4,166.24392712551",,"236,552","185,517","0"
"Nolinor Aviation","2023","58","2,222","3,946","56.3","38.31034482759","68.03448275862","808.6724137931","1,055.77362736274","1,288,584","49,229","0","2","1","167","0.6","0.5","83.5","112.5","55","41,061","40","0","28","1,052","1,981","53.1","37.57142857143","70.75","925.78571428571","1,155.52281368821","634,768","31,133","0","28","1,169","1,798","65","41.75","64.21428571429","741.28571428571","966.86398631309","612,755","18,056","0"
"Norse Atlantic Airways,AS","2023","1,912","432,268","646,256","66.9","226.08158995816","338","4,043.62709205021","4,048.54168478814","385,859,781","22,725,640","0","2","0","676","0","0","338","62",,"565,096","0","0","954","216,182","322,452","67","226.60587002096","338","4,048.85429769392","4,049.36701020437","189,785,667","3,426,762","0","956","216,086","323,128","66.9","226.03138075314","338","4,046.74058577406","4,047.71599270661","195,509,018","19,298,878","0"
"Norse Atlantic UK Ltd","2023","1,770","438,992","597,584","73.5","248.01807909605","337.61807909605","4,190.18079096045","4,182.61902267012","273,771,795","10,109,324","0","1","290","338","85.8","290","338","46","46","57,994","0","0","885","226,614","298,792","75.8","256.06101694915","337.61807909605","4,193.25762711864","4,182.2959437634","134,804,843","2,077,049","0","884","212,088","298,454","71.1","239.9185520362","337.61764705882","4,191.78846153846","4,188.62046414696","138,908,958","8,032,275","0"
"Northern Air Cargo Inc.","2023","7,833","0","0",,"0","0","1,071.08770585982",,"796,584,288","257,736,821","50,290,646","5,374","0","0",,"0","0","967.48827688872",,"398,226,288","87,916,200","50,290,646","1,235","0","0",,"0","0","1,253.65506072875",,"200,070,000","89,722,967","0","1,224","0","0",,"0","0","1,341.73529411765",,"198,288,000","80,097,654","0"
"Omni Air International LLC","2023","568","37,818","129,203","29.3","66.58098591549","227.47007042254","2,627.51936619718","2,850.51078851341","47,668,100","0","0","255","13,115","68,385","19.2","51.43137254902","268.17647058824","1,336.68235294118","1,825.75028593214","21,969,302","0","0","153","13,168","29,622","44.5","86.06535947712","193.60784313725","3,735.49673202614","3,367.98655832321","12,546,231","0","0","160","11,535","31,196","37","72.09375","194.975","3,625.2875","3,424.9029042046","13,152,567","0","0"
"PM Air, LLC","2023","5,402","40,917","54,058","75.7","7.57441688264","10.00703443169","70","70","11,890,200","0","0","5,402","40,917","54,058","75.7","7.57441688264","10.00703443169","70","70","11,890,200","0","0",,,,,,,,,,,,,,,,,,,,,,
"PSA Airlines Inc.","2023","197,269","11,603,256","14,252,237","81.4","58.81945972251","72.24772772204","427.97608848831","430.55400311775","4,091,698,910","704,577","3","192,195","11,298,033","13,884,547","81.4","58.78421915242","72.24197819922","424.23942350217","426.37242996192","3,986,021,130","703,462","3","2,541","153,552","184,138","83.4","60.42975206612","72.46674537584","569.5041322314","581.78658695426","52,923,590","1,015","0","2,533","151,671","183,552","82.6","59.87801026451","72.46427161469","569.52585866561","588.93290081822","52,754,190","100","0"
"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","2023","27,059","34,752","147,860","23.5","1.28430466758","5.46435566725","43.11160796777","42.50028775322","30,065,998","377,514","3,325,271","27,059","34,752","147,860","23.5","1.28430466758","5.46435566725","43.11160796777","42.50028775322","30,065,998","377,514","3,325,271",,,,,,,,,,,,,,,,,,,,,,
"Pathfinder Aviation","2023","92","379","828","45.8","4.11956521739","9","134","134","138,000","11,267","0","92","379","828","45.8","4.11956521739","9","134","134","138,000","11,267","0",,,,,,,,,,,,,,,,,,,,,,
"Philippine Airlines Inc.","2023","3,710","1,025,143","1,198,179","85.6","276.31886792453","322.95929919137","6,005.40781671159","6,521.72519638724","382,000,084","38,436,452","0","27","6,841","8,498","80.5","253.37037037037","314.74074074074","2,541","2,541.31793597427","2,759,632","77,078","0","1,828","504,573","590,649","85.4","276.02461706783","323.11214442013","6,006.29814004376","6,522.41913657687","172,831,690","9,725,596","0","1,855","513,729","599,032","85.8","276.94285714286","322.92830188679","6,054.95579514825","6,574.04815768625","206,408,762","28,633,778","0"
"Piedmont Airlines","2023","104,456","4,343,308","5,222,793","83.2","41.58026346021","49.99993298614","292.77837558398","294.71299824926","1,380,437,300","429,311","3","98,651","4,105,688","4,932,543","83.2","41.6183110156","49.99992904279","287.75752906712","289.81642443362","1,303,705,450","424,631","3","2,903","118,487","145,150","81.6","40.81536341715","50","377.72304512573","378.47030475917","38,372,550","2,900","0","2,902","119,133","145,100","82.1","41.05203308063","50","378.48380427292","380.16079507777","38,359,300","1,780","0"
"Polar Air Cargo Airways","2023","5,902","0","0",,"0","0","4,648.50965774314",,"2,180,226,506","1,500,124,404","0","2,021","0","0",,"0","0","2,330.81593270658",,"698,112,107","497,052,433","0","1,938","0","0",,"0","0","6,135.65221878225",,"738,921,019","339,851,903","0","1,943","0","0",,"0","0","5,575.92949047864",,"743,193,380","663,220,068","0"
"Polaris Aviation Solutions, LLC","2023","9","59","142","41.5","6.55555555556","15.77777777778","2,765.33333333333","3,151.13559322034","40,500","0","0","3","9","44","20.5","3","14.66666666667","393.66666666667","317","13,500","0","0","3","25","49","51","8.33333333333","16.33333333333","3,973","3,703.72","13,500","0","0","3","25","49","51","8.33333333333","16.33333333333","3,929.33333333333","3,618.84","13,500","0","0"
"Polskie Linie Lotnicze","2023","3,338","774,714","905,649","85.5","232.08927501498","271.31485919712","4,734.37747153984","4,716.59526741481","336,420,477","52,202,052","0",,,,,,,,,,,,"1,669","374,805","452,842","82.8","224.56860395446","271.32534451768","4,734.47333732774","4,713.9700937821","171,875,946","25,688,175","0","1,669","399,909","452,807","88.3","239.60994607549","271.30437387657","4,734.28160575195","4,719.05564765984","164,544,531","26,513,877","0"
"Pontair Ltd.","2023","56","212","722","29.4","3.78571428571","12.89285714286","2,634.48214285714","2,804.5","159,316","0","0","19","65","258","25.2","3.42105263158","13.57894736842","909.10526315789","1,071.76923076923","59,640","0","0","13","45","149","30.2","3.46153846154","11.46153846154","3,200.76923076923","3,390.31111111111","29,829","0","0","24","102","315","32.4","4.25","13.125","3,693.66666666667","3,650.24509803922","69,847","0","0"
"Porter Airlines, Inc.","2023","13,851","801,250","1,035,857","77.4","57.84780882247","74.78571944264","402.2459028229","423.00650858034","259,473,885","478","0",,,,,,,,,,,,"6,895","398,709","513,425","77.7","57.82581580856","74.46337926033","402.90616388687","418.41694067603","128,950,264","412","0","6,956","402,541","522,432","77.1","57.86960897067","75.10523289247","401.59143185739","427.55238596814","130,523,621","66","0"
"Qantas Airways Ltd.","2023","5,137","937,662","1,183,020","79.3","182.53104925054","230.29394588281","6,679.62040101226","7,439.03567063611","452,883,833","189,304,863","0","635","378","470","80.4","0.59527559055","0.74015748031","2,375.31496062992","2,519.35714285714","139,847,214","82,125,089","0","2,266","461,593","588,435","78.4","203.70388349515","259.68005295675","7,301.30538393645","7,432.1093235816","150,120,777","42,307,731","0","2,236","475,691","594,115","80.1","212.74194991055","265.70438282648","7,271.97093023256","7,449.66608365515","162,915,842","64,872,043","0"
"Qatar Airways (Q.C.S.C)","2023","9,480","2,878,520","3,213,642","89.6","303.64135021097","338.9917721519","7,359.41244725738","7,376.34356474855","1,172,996,076","104,639,516","0",,,,,,,,,,,,"4,740","1,437,750","1,605,122","89.6","303.32278481013","338.63333333333","7,359.41244725738","7,373.06353051643","585,911,354","54,493,919","0","4,740","1,440,770","1,608,520","89.6","303.95991561181","339.35021097046","7,359.41244725738","7,379.61672369636","587,084,722","50,145,597","0"
"Reeve Air Alaska, LLC","2023","876","3,492","7,488","46.6","3.98630136986","8.54794520548","206.70319634703","215.91065292096","1,703,199","29,381","173,096","876","3,492","7,488","46.6","3.98630136986","8.54794520548","206.70319634703","215.91065292096","1,703,199","29,381","173,096",,,,,,,,,,,,,,,,,,,,,,
"Republic Airline","2023","308,857","17,589,744","22,948,606","76.6","56.95109387192","74.30171891846","483.29948811262","485.86923789226","6,642,681,003","0","0","288,362","16,375,166","21,445,741","76.4","56.78683737802","74.37089838467","489.34506973873","492.45979607169","6,205,720,957","0","0","10,253","621,254","751,829","82.6","60.59241197698","73.32770896323","398.35989466498","394.85835423192","218,606,717","0","0","10,242","593,324","751,036","79","57.93048232767","73.3290372974","398.11784807655","399.27134415598","218,353,329","0","0"
"Romcargo Airline S.R.L","2023","1","0","0",,"0","0","6,339",,"242,000","70,213","0",,,,,,,,,,,,"1","0","0",,"0","0","6,339",,"242,000","70,213","0",,,,,,,,,,,
"Royal Air Maroc","2023","2,356","365,463","684,392","53.4","155.1201188455","290.48896434635","3,798.0441426146","3,782.16125024968","177,090,350","10,201,734","0",,,,,,,,,,,,"1,179","174,423","341,596","51.1","147.94147582697","289.7336726039","3,797.88379983037","3,782.51128004908","88,554,855","3,388,930","0","1,177","191,040","342,796","55.7","162.31096006797","291.24553950722","3,798.20475785896","3,781.84166666667","88,535,495","6,812,804","0"
"Ryan Air f/k/a Arctic Transportation","2023","20,809","7,256","62,731","11.6","0.34869527608","3.01460906339","89.1612763708","141.67750826902","72,723,100","10,126,046","13,247,584","20,809","7,256","62,731","11.6","0.34869527608","3.01460906339","89.1612763708","141.67750826902","72,723,100","10,126,046","13,247,584",,,,,,,,,,,,,,,,,,,,,,
"STARLUX AIRLINES","2023","559","129,135","157,803","81.8","231.01073345259","282.29516994633","6,201.20035778175","6,487.47252874898","67,302,641","30,501,378","0",,,,,,,,,,,,"280","66,624","79,976","83.3","237.94285714286","285.62857142857","6,193.21428571429","6,496.32168587896","33,624,182","15,084,847","0","279","62,511","77,827","80.3","224.05376344086","278.94982078853","6,209.21505376344","6,478.04112876134","33,678,459","15,416,531","0"
"SWOOP Inc.","2023","1,607","245,915","303,723","81","153.02738021157","189","1,401.21157436217","1,405.97347457455","66,253,396","24","0",,,,,,,,,,,,"802","123,472","151,578","81.5","153.95511221945","189","1,399.94014962594","1,403.90196967734","33,064,856","12","0","805","122,443","152,145","80.5","152.10310559006","189","1,402.47826086957","1,408.06238821329","33,188,540","12","0"
"Sata Internacional","2023","1,280","198,214","244,040","81.2","154.8546875","190.65625","2,555.1328125","2,554.95980102314","65,265,836","290,072","0",,,,,,,,,,,,"641","99,539","122,144","81.5","155.28705148206","190.55226209048","2,557.98751950078","2,552.47469835944","32,675,380","7,088","0","639","98,675","121,896","81","154.42097026604","190.76056338028","2,552.26917057903","2,557.46666328857","32,590,456","282,984","0"
"Saudi Arabian Airlines Corp","2023","1,051","231,632","334,354","69.3","220.3920076118","318.12940057088","6,885.96479543292","6,846.84243973199","85,955,441","18,355,739","0",,,,,,,,,,,,"533","115,118","169,780","67.8","215.98123827392","318.53658536585","6,891.04127579737","6,862.62660921837","44,550,409","10,224,282","0","518","116,514","164,574","70.8","224.9305019305","317.71042471042","6,880.74131274131","6,831.24738658015","41,405,032","8,131,457","0"
"Scandinavian Airlines Sys.","2023","7,090","1,320,683","1,742,689","75.8","186.27404795487","245.79534555712","4,295.20705218618","4,351.61021607759","617,654,964","89,772,926","0","2","491","528","93","245.5","264","61.5","61.51120162933","200,024","71,377","0","3,541","660,760","869,785","76","186.60265461734","245.63258966394","4,296.73340864163","4,355.86993916097","309,764,929","18,834,880","0","3,547","659,432","872,376","75.6","185.91260219904","245.94756131942","4,296.07048209755","4,350.5362372466","307,690,011","70,866,669","0"
"Scott Air LLC dba Island Air Express","2023","5,350","30,009","47,164","63.6","5.6091588785","8.81570093458","63.81570093458","59.76763637575","18,959,982","157,355","856,883","5,350","30,009","47,164","63.6","5.6091588785","8.81570093458","63.81570093458","59.76763637575","18,959,982","157,355","856,883",,,,,,,,,,,,,,,,,,,,,,
"Scott Aviation, LLC  d/b/a  Silver Air","2023","1,525","6,697","14,509","46.2","4.39147540984","9.51409836066","1,018.63278688525","1,116.73659847693","2,902,600","0","0","1,348","5,738","12,581","45.6","4.25667655786","9.33308605341","928.04376854599","1,026.88776577205","2,517,000","0","0","88","500","965","51.8","5.68181818182","10.96590909091","1,814.07954545455","1,818.072","193,000","0","0","89","459","963","47.7","5.15730337079","10.8202247191","1,604.19101123596","1,475.96296296296","192,600","0","0"
"Seaborne Virgin Islands, Inc.","2023","4,008","38,678","50,081","77.2","9.6501996008","12.49525948104","43","43","16,276,488","0","0","4,008","38,678","50,081","77.2","9.6501996008","12.49525948104","43","43","16,276,488","0","0",,,,,,,,,,,,,,,,,,,,,,
"Sichuan Airlines Co Ltd.","2023","22","5,694","6,778","84","258.81818181818","308.09090909091","7,205","7,205","1,615,900","216,543","0",,,,,,,,,,,,"11","2,773","3,145","88.2","252.09090909091","285.90909090909","7,205","7,205","756,800","9,508","0","11","2,921","3,633","80.4","265.54545454545","330.27272727273","7,205","7,205","859,100","207,035","0"
"Silk Way Airlines, LLC","2023","11","0","0",,"0","0","2,215.90909090909",,"1,210,000","361,119","0","3","0","0",,"0","0","1,443.66666666667",,"330,000","44,328","0","4","0","0",,"0","0","2,434.5",,"440,000","157,821","0","4","0","0",,"0","0","2,576.5",,"440,000","158,970","0"
"Silk Way West Airlines","2023","150","0","0",,"0","0","4,791.34",,"39,343,567","25,307,606","0","20","0","0",,"0","0","1,448.15",,"5,449,489","1,831,997","0","64","0","0",,"0","0","5,684.421875",,"16,833,217","10,865,738","0","66","0","0",,"0","0","4,938.40909090909",,"17,060,861","12,609,871","0"
"Silver Airways","2023","24,325","779,714","1,260,618","61.9","32.05401849949","51.82396711202","260.80789311408","256.36317034195","333,263,936","8,221,146","0","17,203","555,583","872,352","63.7","32.29570423763","50.70929489043","280.96866825554","272.9655587014","237,876,930","8,221,136","0","3,566","112,075","194,428","57.6","31.42877173303","54.52271452608","212.13011777902","215.47445906759","47,767,687","2","0","3,556","112,056","193,838","57.8","31.51181102362","54.51012373453","212.08998875141","214.9427875348","47,619,319","8","0"
"Singapore Airlines Ltd.","2023","8,536","1,245,762","1,811,421","68.8","145.94212746017","212.20958294283","7,570.82228209934","7,682.38017213561","938,308,103","197,300,088","0","173","0","0",,"0","0","2,662.8612716763",,"40,870,883","31,165,205","0","4,039","615,174","907,752","67.8","152.30849220104","224.74671948502","7,761.43253280515","7,650.16148114192","412,916,281","62,423,443","0","4,324","630,588","903,669","69.8","145.83441258094","208.98913043478","7,589.13922294172","7,713.81131420198","484,520,939","103,711,440","0"
"Sky Airline Peru","2023","718","110,522","133,548","82.8","153.93036211699","186","2,608","2,608","31,571,606","94,233","0",,,,,,,,,,,,"359","52,854","66,774","79.2","147.22562674095","186","2,608","2,608","15,785,803","48,288","0","359","57,668","66,774","86.4","160.63509749304","186","2,608","2,608","15,785,803","45,945","0"
"Sky Lease Cargo","2023","800","0","0",,"0","0","3,687.8125",,"218,640,000","98,453,676","0","291","0","0",,"0","0","2,501.11340206186",,"79,530,300","35,420,119","0","261","0","0",,"0","0","4,743.99616858238",,"71,331,300","11,902,296","0","248","0","0",,"0","0","3,968.72177419355",,"67,778,400","51,131,261","0"
"SkyLink Express Inc.","2023","74","0","0",,"0","0","429.7027027027",,"391,229","51,297","0",,,,,,,,,,,,"37","0","0",,"0","0","433.51351351351",,"195,614","41,924","0","37","0","0",,"0","0","425.89189189189",,"195,615","9,373","0"
"SkyWest Airlines Inc.","2023","701,689","38,545,851","48,118,391","80.1","54.93295605318","68.57509665963","451.82326215745","470.40609262979","12,075,200,788","0","0","678,515","37,094,047","46,425,822","79.9","54.66945756542","68.42269072902","450.37772930591","469.28713316183","11,632,412,556","0","0","11,584","730,063","846,062","86.3","63.02339433702","73.03712016575","493.89045234807","498.64541690238","221,716,130","0","0","11,590","721,741","846,507","85.3","62.27273511648","73.03770491803","494.40388265746","499.35033897201","221,072,102","0","0"
"Skyfirst Limited","2023","47","185","630","29.4","3.93617021277","13.40425531915","3,339.02127659575","3,786.21621621622","255,698","0","0","12","27","129","20.9","2.25","10.75","740.58333333333","945.22222222222","52,950","0","0","17","82","243","33.7","4.82352941176","14.29411764706","4,274.82352941177","4,354.86585365854","98,930","0","0","18","76","258","29.5","4.22222222222","14.33333333333","4,187.5","4,181.97368421053","103,818","0","0"
"Smokey Bay Air Inc.","2023","9,284","18,513","46,488","39.8","1.99407582938","5.00732442913","18.79610081861","18.91924593529","12,454,830","583,264","238,543","9,284","18,513","46,488","39.8","1.99407582938","5.00732442913","18.79610081861","18.91924593529","12,454,830","583,264","238,543",,,,,,,,,,,,,,,,,,,,,,
"Southern Airways Express, dba Mokulele Airlines","2023","74,377","430,379","686,487","62.7","5.78645280127","9.22982911384","111.86954300389","99.19814628502","274,336,000","0","0","74,377","430,379","686,487","62.7","5.78645280127","9.22982911384","111.86954300389","99.19814628502","274,336,000","0","0",,,,,,,,,,,,,,,,,,,,,,
"Southwest Airlines Co.","2023","1,459,654","176,449,105","231,444,058","76.2","120.88419926914","158.56090415948","729.68987581989","772.39111313146","56,750,250,800","264,714,402","2,499,850","1,427,856","172,188,646","226,487,632","76","120.5924448964","158.62077968647","723.06355332751","765.33242988042","55,537,479,200","263,953,688","2,499,850","15,899","2,137,991","2,478,133","86.3","134.47330020756","155.86722435373","1,027.55481476822","1,055.16759378314","606,363,800","391,326","0","15,899","2,122,468","2,478,293","85.6","133.49694949368","155.87728787974","1,026.92112711491","1,060.19358689978","606,407,800","369,388","0"
"Sparfell Luftfahrt GmbH","2023","77","260","989","26.3","3.37662337662","12.84415584416","3,297.1038961039","3,332.25","193,454","0","0","2","4","26","15.4","2","13","560.5","75","5,258","0","0","38","120","489","24.5","3.15789473684","12.86842105263","3,391.28947368421","3,137.975","95,505","0","0","37","136","474","28.7","3.67567567568","12.81081081081","3,348.2972972973","3,599.47058823529","92,691","0","0"
"Sparfell Malta Ltd","2023","41","97","484","20","2.36585365854","11.80487804878","2,721.78048780488","3,418.69072164949","521,460","0","0","9","11","121","9.1","1.22222222222","13.44444444444","670.66666666667","1,688.27272727273","288,591","0","0","16","44","182","24.2","2.75","11.375","3,502.125","3,617.68181818182","118,785","0","0","16","42","181","23.2","2.625","11.3125","3,095.1875","3,663.42857142857","114,084","0","0"
"Spernak Airways Inc.","2023","3,543","5,275","17,602","30","1.488851256","4.96810612475","42.6093705899","42.05933649289","3,540,275","678,314","48,415","3,543","5,275","17,602","30","1.488851256","4.96810612475","42.6093705899","42.05933649289","3,540,275","678,314","48,415",,,,,,,,,,,,,,,,,,,,,,
"Spirit Air Lines","2023","296,262","44,103,276","54,867,297","80.4","148.86578771493","185.1985641088","1,012.12159507463","1,025.49096216798","10,973,459,400","0","0","260,133","39,011,352","48,071,004","81.2","149.96694767677","184.79394771136","1,000.19994387486","1,014.69365540061","9,614,200,800","0","0","18,080","2,470,962","3,401,067","72.7","136.66825221239","188.11211283186","1,098","1,112.475516823","680,213,400","0","0","18,049","2,620,962","3,395,226","77.2","145.21369604964","188.11158512937","1,097.9176685689","1,104.19565373325","679,045,200","0","0"
"Star Marianas Air Inc.","2023","24,546","71,956","141,052","51","2.93147559684","5.7464352644","26.86486596594","28.79934960253","34,219,776","2,170,694","0","24,546","71,956","141,052","51","2.93147559684","5.7464352644","26.86486596594","28.79934960253","34,219,776","2,170,694","0",,,,,,,,,,,,,,,,,,,,,,
"Sun Country Airlines d/b/a MN Airlines","2023","48,837","4,860,826","6,604,304","73.6","99.53162561173","135.23156623052","1,082.91733726478","1,206.78490836743","2,307,542,262","320,143,088","40,453","44,973","4,347,806","5,903,202","73.7","96.67591666111","131.26102328064","1,049.26493673982","1,164.25309224929","2,132,833,212","320,142,267","40,453","1,936","259,047","351,600","73.7","133.80526859504","181.61157024793","1,476.81714876033","1,569.20629461063","87,557,382","821","0","1,928","253,973","349,502","72.7","131.72873443983","181.27697095436","1,472.36721991701","1,565.23211522485","87,151,668","0","0"
"Sunwing Airlines Inc.","2023","255","32,286","48,195","67","126.61176470588","189","1,126.34509803922","1,142.74276776312","6,829,080","0","0",,,,,,,,,,,,"130","16,683","24,570","67.9","128.33076923077","189","1,125.80769230769","1,139.83018641731","3,546,105","0","0","125","15,603","23,625","66","124.824","189","1,126.904","1,145.85695058643","3,282,975","0","0"
"Surinam Airways Limited","2023","325","37,940","48,425","78.3","116.73846153846","149","1,896.97538461539","1,946.72282551397","11,269,150","0","0",,,,,,,,,,,,"162","18,793","24,138","77.9","116.00617283951","149","1,896.75308641975","1,950.22747831639","5,625,093","0","0","163","19,147","24,287","78.8","117.46625766871","149","1,897.19631901841","1,943.28296861127","5,644,057","0","0"
