Carrier,Year,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs)
"Hyannis Air Service, Inc. dba Cape Air",2023,"75,813.00","355,382.00","664,812.00",53.5,4.69,8.77,110.06,114.23,"136,552,850.00",0,"779,271.00","69,432.00","326,085.00","607,337.00",53.7,4.7,8.75,111.64,115.67,"125,120,069.00",0,"779,271.00","3,197.00","14,555.00","28,793.00",50.6,4.55,9.01,92.98,98.56,"5,700,600.00",0,0,"3,184.00","14,742.00","28,682.00",51.4,4.63,9.01,92.87,97.89,"5,732,181.00",0,0
Hyperion Aviation Ltd. dba Hyperion,2023,26,60,276,21.7,2.31,10.62,"2,978.19","3,176.18","113,148.00",0,0,9,8,68,11.8,0.89,7.56,"1,407.22","1,397.38","33,629.00",0,0,10,34,125,27.2,3.4,12.5,"3,749.90","3,339.82","46,643.00",0,0,7,18,83,21.7,2.57,11.86,"3,895.57","3,657.67","32,876.00",0,0
Iberia Air Lines Of Spain,2023,"7,532.00","1,987,071.00","2,312,216.00",85.9,263.82,306.99,"4,294.64","4,294.93","752,912,747.00","77,919,722.00",0,9,"2,665.00","2,834.00",94,296.11,314.89,559.44,539.93,"880,100.00",0,0,"3,763.00","987,544.00","1,154,800.00",85.5,262.44,306.88,"4,300.33","4,301.30","376,138,658.00","22,008,246.00",0,"3,760.00","996,862.00","1,154,582.00",86.3,265.12,307.07,"4,297.88","4,298.65","375,893,989.00","55,911,476.00",0
Icelandair,2023,"9,315.00","1,363,242.00","1,643,218.00",83,146.35,176.41,"2,925.03","2,931.24","478,772,664.00","50,816,245.00",0,0,0,0,0,0,0,0,0,0,0,0,"4,674.00","668,838.00","819,634.00",81.6,143.1,175.36,"2,929.87","2,927.89","241,006,492.00","14,084,620.00",0,"4,641.00","694,404.00","823,584.00",84.3,149.62,177.46,"2,920.15","2,934.46","237,766,172.00","36,731,625.00",0
Iliamna Air Taxi,2023,"4,489.00","13,265.00","35,238.00",37.6,2.96,7.85,120.95,187.89,"10,818,100.00","561,011.00","307,618.00","4,489.00","13,265.00","35,238.00",37.6,2.96,7.85,120.95,187.89,"10,818,100.00","561,011.00","307,618.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International Jet Management GmbH,2023,97,320,"1,218.00",26.3,3.3,12.56,"3,511.43","4,120.78","512,850.00",0,0,23,18,78,23.1,0.78,3.39,800.96,"1,238.17","32,372.00",0,0,35,165,534,30.9,4.71,15.26,"4,204.03","4,016.27","227,688.00",0,0,39,137,606,22.6,3.51,15.54,"4,488.36","4,625.39","252,790.00",0,0
Island Air Service,2023,"11,716.00","20,075.00","67,238.00",29.9,1.71,5.74,40.19,44.98,"14,498,898.00","1,225,288.00","295,537.00","11,716.00","20,075.00","67,238.00",29.9,1.71,5.74,40.19,44.98,"14,498,898.00","1,225,288.00","295,537.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Island Wings Ltd. Dba Island Wings Charter,2023,518,"2,012.00","4,215.00",47.7,3.88,8.14,233.54,205.53,"883,194.00","2,948.00",0,0,0,0,0,0,0,0,0,0,0,0,260,"1,051.00","2,114.00",49.7,4.04,8.13,253.02,210.57,"446,943.00","2,948.00",0,258,961,"2,101.00",45.7,3.72,8.14,213.9,200.02,"436,251.00",0,0
Italia Transporto Aereo S.P.A DBA ITA S.P.A,2023,"4,631.00","1,002,277.00","1,279,248.00",78.3,216.43,276.24,"4,675.52","4,736.27","362,406,464.00","53,798,965.00",0,0,0,0,0,0,0,0,0,0,0,0,"2,310.00","497,396.00","639,110.00",77.8,215.32,276.67,"4,675.38","4,735.39","177,978,203.00","15,448,491.00",0,"2,321.00","504,881.00","640,138.00",78.9,217.53,275.8,"4,675.66","4,737.14","184,428,261.00","38,350,474.00",0
"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",2023,"1,588.00","5,202.00","14,282.00",36.4,3.28,8.99,117.48,122.61,"3,973,113.00","362,625.00","96,541.00","1,588.00","5,202.00","14,282.00",36.4,3.28,8.99,117.48,122.61,"3,973,113.00","362,625.00","96,541.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan Air Lines Co. Ltd.,2023,"11,075.00","1,884,562.00","2,415,064.00",78,170.16,218.06,"5,235.54","5,259.71","830,988,663.00","240,984,897.00",0,4,322,744,43.3,80.5,186,109,109,"201,520.00","15,820.00",0,"5,530.00","917,913.00","1,205,779.00",76.1,165.99,218.04,"5,236.38","5,241.35","398,471,418.00","63,431,752.00",0,"5,541.00","966,327.00","1,208,541.00",80,174.4,218.11,"5,238.40","5,278.87","432,315,725.00","177,537,325.00",0
Jazz Aviation LP,2023,"70,269.00","4,015,478.00","5,174,092.00",77.6,57.14,73.63,486.03,499.01,"1,495,962,961.00",0,0,1,70,76,92.1,70,76,230,230,"22,750.00",0,0,"35,068.00","2,026,094.00","2,582,198.00",78.5,57.78,73.63,486.19,497.87,"746,590,650.00",0,0,"35,200.00","1,989,314.00","2,591,818.00",76.8,56.51,73.63,485.88,500.19,"749,349,561.00",0,0
Jeju Air Co Ltd.,2023,"3,574.00","501,583.00","671,916.00",74.6,140.34,188,"1,885.09","1,916.00","100,432,320.00",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,787.00","251,615.00","335,958.00",74.9,140.8,188,"1,885.09","1,915.94","50,388,724.00",0,0,"1,787.00","249,968.00","335,958.00",74.4,139.88,188,"1,885.09","1,916.06","50,043,596.00",0,0
Jet Story,2023,35,163,406,40.1,4.66,11.6,"3,493.40","3,602.37","157,956.00",0,0,9,37,64,57.8,4.11,7.11,"1,191.33",535.35,"24,041.00",0,0,13,60,173,34.7,4.62,13.31,"4,464.00","4,598.90","69,148.00",0,0,13,66,169,39.1,5.08,13,"4,116.54","4,415.83","64,767.00",0,0
JetBlue Airways,2023,"348,369.00","42,813,129.00","52,741,230.00",81.2,122.9,151.39,"1,226.63","1,326.16","13,841,768,400.00","6,621,093.00",0,"270,625.00","32,195,756.00","39,514,762.00",81.5,118.97,146.01,"1,146.31","1,254.54","10,360,217,200.00","5,984,445.00",0,"38,893.00","5,248,189.00","6,615,808.00",79.3,134.94,170.1,"1,506.48","1,543.45","1,741,492,200.00","311,471.00",0,"38,851.00","5,369,184.00","6,610,660.00",81.2,138.2,170.15,"1,505.98","1,543.23","1,740,059,000.00","325,177.00",0
